Column1,Firmware_CRC32,Battery_Volt_Test,Vcc_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Crystal_Test_Hz,Standby_Curr_Test,Sleep_Curr_Test,Fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Antenna_RSSI,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Check_Memory_EEPROM,Led1_On,Led2_On,Check_Jumper,
KM6TZ003S0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,6.088,3.299,18.841,'M95FAR02A08,'866562064554902,'89460800235147697415,11.00159,32.7683605,1.0000109774,9.932,6.18,-,PASS,2022.11.05 11:53:38,SST Sugarloaf#1,5221101002547,81155,2022.11.05 11:46:39,2022.11.05 11:53:38,'00:06:59,19,0x01,0x01,0x55,0,2.49,77.7,0x01,Color detected,Color detected,51 01
KM6TZ003J0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.942,3.287,17.422,'M95FAR02A08,'866562064554910,'89460800235147697407,10.28137,32.7683369,1.0000102849,9.268,6.883,-,PASS,2022.11.05 11:53:46,SST Sugarloaf#1,5221101002548,81155,2022.11.05 11:46:40,2022.11.05 11:53:46,'00:07:06,15,0x01,0x01,0x55,0,2.48,78,0x01,Color detected,Color detected,51 01
KM6TZ003V0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.905,3.32,16.521,'M95FAR02A08,'866562064555305,'89460800235147697399,18.64319,32.7686109,1.0000186248,8.848,6.612,-,PASS,2022.11.05 11:53:56,SST Sugarloaf#1,5221101002549,81155,2022.11.05 11:46:39,2022.11.05 11:53:56,'00:07:17,18,0x01,0x01,0x55,0,2.49,77.7,0x01,Color detected,Color detected,51 01
KM6TZ003A0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.99,3.315,16.738,'M95FAR02A08,'866562064555297,'89460800235147697381,-1.03455,32.7679661,0.999998995,8.686,5.783,-,PASS,2022.11.05 11:54:05,SST Sugarloaf#1,5221101002550,81155,2022.11.05 11:46:39,2022.11.05 11:54:05,'00:07:26,19,0x01,0x01,0x55,0,2.41,77.6,0x01,Color detected,Color detected,51 01
KM6TZ004C0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,6.021,3.314,16.333,'M95FAR02A08,'866562064551916,'89460800235147698629,11.41357,32.768374,1.0000114046,9.321,5.966,-,PASS,2022.11.05 12:07:36,SST Sugarloaf#1,5221101002485,81155,2022.11.05 12:00:22,2022.11.05 12:07:36,'00:07:14,17,0x01,0x01,0x55,0,2.42,77.5,0x01,Color detected,Color detected,51 01
KM6TZ003Q0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.929,3.28,15.938,'M95FAR02A08,'866562064551973,'89460800235147698660,22.57996,32.7687399,1.0000225863,8.575,9.267,-,PASS,2022.11.05 12:07:50,SST Sugarloaf#1,5221101002481,81155,2022.11.05 12:00:23,2022.11.05 12:07:50,'00:07:27,18,0x01,0x01,0x55,0,2.43,77.6,0x01,Color detected,Color detected,51 01
KM6TZ003W0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.926,3.287,16.477,'M95FAR02A08,'866562064553169,'89460800235147698645,-17.55981,32.7674246,0.9999824373,9.164,8.637,-,PASS,2022.11.05 12:07:58,SST Sugarloaf#1,5221101002483,81155,2022.11.05 12:00:22,2022.11.05 12:07:58,'00:07:36,11,0x01,0x01,0x55,0,2.49,78,0x01,Color detected,Color detected,51 01
KM6TZ00YF0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,6.088,3.321,16.219,'M95FAR02A08,'866562064588520,'89460800235147698868,5.91736,32.7681939,1.0000058893,9.607,10.843,-,PASS,2022.11.05 18:57:35,SST Sugarloaf#1,5221101001997,81155,2022.11.05 18:51:10,2022.11.05 18:57:35,'00:06:25,16,0x01,0x01,0x55,0,2.5,81.4,0x01,Color detected,Color detected,51 01
KM6TZ00YJ0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.937,3.308,15.957,'M95FAR02A08,'866562064588579,'89460800235147698850,0.63171,32.7680207,1.0000006383,8.435,6.617,-,PASS,2022.11.05 18:57:49,SST Sugarloaf#1,5221101001998,81155,2022.11.05 18:51:10,2022.11.05 18:57:49,'00:06:39,15,0x01,0x01,0x55,0,2.5,81.5,0x01,Color detected,Color detected,51 01
KM6TZ00SK0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,5.908,3.315,15.227,'M95FAR02A08,'866562064588470,'89460800235147698843,12.16736,32.7683987,1.0000121911,8.561,6.093,-,PASS,2022.11.05 18:57:58,SST Sugarloaf#1,5221101001999,81155,2022.11.05 18:51:11,2022.11.05 18:57:58,'00:06:47,19,0x01,0x01,0x55,0,2.5,81.1,0x01,Color detected,Color detected,51 01
